Stnno,Year,Month,Day,Rainfall,Day mean wind,Solar Radioation ( MJm-2)
48650,2009,3,22,0.0,1.3,18.78
48650,2009,3,23,0.0,1.7,25.73
48650,2009,3,24,108.8,0.9,3.06
48650,2009,3,25,0.0,1.5,18.54
48650,2009,3,26,6.4,1.4,12.38
48650,2009,3,27,0.0,1.1,16.79
48650,2009,3,28,0.0,1.5,22.04
48650,2009,3,29,0.0,1.7,16.62
48650,2009,3,30,65.4,1.4,19.08
48650,2009,3,31,0.0,1.4,21.82
48650,2009,4,1,2.8,1.4,25.71
48650,2009,4,2,16.6,0.8,15.59
48650,2009,4,3,1.0,1.0,16.12
48650,2009,4,4,8.8,1.3,16.73
48650,2009,4,5,54.8,1.2,16.04
48650,2009,4,6,27.8,0.9,14.91
48650,2009,4,7,0.0,1.4,16.70
48650,2009,4,8,0.0,2.1,-1.11
48650,2009,4,9,15.0,1.8,15.08
48650,2009,4,10,45.2,0.9,-1.11
48650,2009,4,11,27.6,1.5,-1.11
48650,2009,4,12,58.0,1.4,11.14
48650,2009,4,13,15.4,1.4,16.78
48650,2009,4,14,20.6,1.2,18.21
48650,2009,4,15,0.4,1.1,13.35
48650,2009,4,16,0.0,1.3,21.74
48650,2009,4,17,0.0,1.5,25.01
48650,2009,4,18,0.0,1.4,24.15
48650,2009,4,19,0.0,1.6,12.17
48650,2009,4,20,25.6,2.3,25.24
48650,2009,4,21,0.0,3.1,15.06
48650,2009,4,22,0.0,2.0,22.25
48650,2009,4,23,0.0,1.9,22.69
48650,2009,4,24,0.0,1.6,23.94
48650,2009,4,25,0.0,1.5,21.16
48650,2009,4,26,0.0,1.4,15.02
48650,2009,4,27,0.2,1.1,15.68
48650,2009,4,28,0.0,1.3,19.64
48650,2009,4,29,0.0,1.7,20.47
48650,2009,4,30,0.0,1.2,13.38
48650,2009,5,1,1.2,1.6,21.70
48650,2009,5,2,1.2,1.2,15.69
48650,2009,5,3,0.2,2.7,19.89
48650,2009,5,4,0.0,2.2,20.85
48650,2009,5,5,0.4,1.6,20.65
48650,2009,5,6,0.0,1.5,17.04
48650,2009,5,7,0.0,1.8,23.42
48650,2009,5,8,0.2,1.6,17.99
48650,2009,5,9,0.0,1.8,14.24
48650,2009,5,10,0.0,1.5,20.83
48650,2009,5,11,0.0,1.4,19.40
48650,2009,5,12,0.0,1.1,20.00
48650,2009,5,13,35.2,1.8,14.70
48650,2009,5,14,0.0,1.7,13.58
48650,2009,5,15,0.0,1.3,19.77
48650,2009,5,16,0.2,1.4,20.98
48650,2009,5,17,1.8,1.6,22.67
48650,2009,5,18,0.0,1.4,8.93
48650,2009,5,19,2.4,1.3,14.07
